📊 Word Frequency Analysis (Filtered)
=====================================

ulfcytel        -> 4 times
danish          -> 3 times
england         -> 3 times
battle          -> 3 times
died            -> 2 times
1016            -> 2 times
english         -> 2 times
viking          -> 2 times
east            -> 2 times
led             -> 2 times
never           -> 2 times
anglosaxon      -> 2 times
historians      -> 2 times
scandinavian    -> 2 times
him             -> 2 times
greatly         -> 1 times
respected       -> 1 times
military        -> 1 times
leader          -> 1 times
during          -> 1 times
reign           -> 1 times
æthelred        -> 1 times
unready         -> 1 times
978–1013        -> 1 times
1014–1016       -> 1 times
when            -> 1 times
ineffective     -> 1 times
opposition      -> 1 times
invasions       -> 1 times
ended           -> 1 times
conquest        -> 1 times
commanded       -> 1 times
anglian         -> 1 times
forces          -> 1 times
1004            -> 1 times
against         -> 1 times
invaders        -> 1 times
future          -> 1 times
king            -> 1 times
swein           -> 1 times
forkbeard       -> 1 times
although        -> 1 times
lost            -> 1 times
danes           -> 1 times
badly           -> 1 times
mauled          -> 1 times
said            -> 1 times
that            -> 1 times
they            -> 1 times
had             -> 1 times
met             -> 1 times
such            -> 1 times
hard            -> 1 times
fighting        -> 1 times
local           -> 1 times
army            -> 1 times
another         -> 1 times
defeat          -> 1 times
ringmere        -> 1 times
1010            -> 1 times
assandun        -> 1 times
exercised       -> 1 times
powers          -> 1 times
ealdorman       -> 1 times
secondhighest   -> 1 times
rank            -> 1 times
but             -> 1 times
puzzlement      -> 1 times
formally        -> 1 times
given           -> 1 times
title           -> 1 times
highly          -> 1 times
praised         -> 1 times
chronicle       -> 1 times
skaldic         -> 1 times
poetry          -> 1 times
also            -> 1 times
anglonorman     -> 1 times
writers         -> 1 times
modern          -> 1 times
sources         -> 1 times
gave            -> 1 times
byname          -> 1 times
snilling        -> 1 times
meaning         -> 1 times
bold            -> 1 times
icelandic       -> 1 times
court           -> 1 times
poet            -> 1 times
sigvatr         -> 1 times
þórðarson       -> 1 times
called          -> 1 times
anglia          -> 1 times
ulfkells        -> 1 times
land            -> 1 times
after           -> 1 times

📈 Summary:
Total words: 116
Unique words: 96
Most frequent word: ulfcytel (4 times)
